,time,z_minus,z_plus
0,0.0,1.0,0.0
1,0.01,1.0,0.0
2,0.02,2.0,0.0
3,0.03,2.0,0.0
4,0.04,2.0,0.0
5,0.05,2.0,0.0
6,0.06,2.0,0.0
7,0.07,2.0,0.0
8,0.08,2.0,0.0
9,0.09,3.0,0.0
10,0.1,5.0,0.0
11,0.11,6.0,0.0
12,0.12,8.0,0.0
13,0.13,10.0,0.0
14,0.14,11.0,0.0
15,0.15,12.0,0.0
16,0.16,15.0,0.0
17,0.17,16.0,0.0
18,0.18,16.0,0.0
19,0.19,19.0,0.0
20,0.2,25.0,0.0
21,0.21,28.0,0.0
22,0.22,35.0,0.0
23,0.23,39.0,0.0
24,0.24,40.0,0.0
25,0.25,45.0,0.0
26,0.26,55.0,0.0
27,0.27,69.0,0.0
28,0.28,76.0,0.0
29,0.29,86.0,0.0
30,0.3,98.0,0.0
31,0.31,114.0,0.0
32,0.32,127.0,0.0
33,0.33,142.0,0.0
34,0.34,168.0,0.0
35,0.35,186.0,0.0
36,0.36,213.0,0.0
37,0.37,245.0,0.0
38,0.38,279.0,0.0
39,0.39,329.0,0.0
40,0.4,386.0,0.0
41,0.41,433.0,0.0
42,0.42,510.0,0.0
43,0.43,592.0,0.0
44,0.44,687.0,0.0
45,0.45,792.0,0.0
46,0.46,924.0,0.0
47,0.47,1079.0,0.0
48,0.48,1285.0,0.0
49,0.49,1476.0,0.0
50,0.5,1729.0,0.0
51,0.51,2030.0,0.0
52,0.52,2360.0,0.0
53,0.53,2718.0,0.0
54,0.54,3158.0,1.0
55,0.55,3601.0,1.0
56,0.56,4139.0,2.0
57,0.57,4838.0,2.0
58,0.58,5581.0,2.0
59,0.59,6469.0,2.0
60,0.6,7473.0,5.0
61,0.61,8729.0,6.0
62,0.62,10169.0,9.0
63,0.63,11838.0,11.0
64,0.64,13816.0,12.0
65,0.65,16069.0,12.0
66,0.66,18656.0,14.0
67,0.67,21611.0,17.0
68,0.68,25173.0,22.0
69,0.69,29231.0,24.0
70,0.7,33905.0,29.0
71,0.71,39436.0,32.0
72,0.72,45901.0,36.0
73,0.73,53419.0,43.0
74,0.74,62024.0,52.0
75,0.75,72151.0,63.0
76,0.76,83887.0,78.0
77,0.77,97494.0,99.0
78,0.78,113338.0,116.0
79,0.79,131702.0,143.0
80,0.8,152777.0,179.0
81,0.81,177457.0,230.0
82,0.82,206168.0,275.0
83,0.83,239453.0,337.0
84,0.84,277776.0,405.0
85,0.85,322649.0,481.0
86,0.86,374823.0,570.0
87,0.87,435609.0,689.0
88,0.88,506072.0,811.0
89,0.89,587823.0,966.0
90,0.9,682682.0,1139.0
91,0.91,793175.0,1334.0
92,0.92,921513.0,1566.0
93,0.93,1070824.0,1837.0
94,0.94,1244193.0,2165.0
95,0.95,1445702.0,2536.0
96,0.96,1680413.0,2987.0
97,0.97,1952836.0,3513.0
98,0.98,2269146.0,4086.0
99,0.99,2635055.0,4787.0
100,1.0,3062134.0,5565.0
