,time,z_minus,z_plus
0,0.0,1.0,1.0
1,0.01,1.0,1.0
2,0.02,1.0,1.0
3,0.03,1.0,2.0
4,0.04,1.0,2.0
5,0.05,1.0,2.0
6,0.06,1.0,3.0
7,0.07,1.0,4.0
8,0.08,1.0,4.0
9,0.09,2.0,5.0
10,0.1,2.0,5.0
11,0.11,2.0,5.0
12,0.12,2.0,7.0
13,0.13,2.0,7.0
14,0.14,2.0,8.0
15,0.15,2.0,10.0
16,0.16,3.0,12.0
17,0.17,3.0,13.0
18,0.18,3.0,17.0
19,0.19,4.0,23.0
20,0.2,5.0,27.0
21,0.21,7.0,28.0
22,0.22,7.0,34.0
23,0.23,10.0,39.0
24,0.24,11.0,43.0
25,0.25,12.0,49.0
26,0.26,13.0,59.0
27,0.27,15.0,67.0
28,0.28,15.0,78.0
29,0.29,16.0,92.0
30,0.3,16.0,102.0
31,0.31,16.0,123.0
32,0.32,19.0,144.0
33,0.33,20.0,167.0
34,0.34,21.0,197.0
35,0.35,25.0,234.0
36,0.36,25.0,277.0
37,0.37,30.0,329.0
38,0.38,32.0,382.0
39,0.39,35.0,441.0
40,0.4,39.0,501.0
41,0.41,41.0,595.0
42,0.42,45.0,682.0
43,0.43,50.0,792.0
44,0.44,54.0,898.0
45,0.45,58.0,1041.0
46,0.46,61.0,1222.0
47,0.47,62.0,1448.0
48,0.48,67.0,1698.0
49,0.49,79.0,1968.0
50,0.5,88.0,2291.0
51,0.51,96.0,2648.0
52,0.52,106.0,3068.0
53,0.53,115.0,3562.0
54,0.54,127.0,4143.0
55,0.55,145.0,4823.0
56,0.56,160.0,5560.0
57,0.57,176.0,6434.0
58,0.58,189.0,7454.0
59,0.59,203.0,8690.0
60,0.6,241.0,10093.0
61,0.61,257.0,11608.0
62,0.62,291.0,13527.0
63,0.63,325.0,15761.0
64,0.64,356.0,18338.0
65,0.65,397.0,21156.0
66,0.66,441.0,24459.0
67,0.67,495.0,28484.0
68,0.68,542.0,33066.0
69,0.69,593.0,38409.0
70,0.7,656.0,44589.0
71,0.71,719.0,51718.0
72,0.72,793.0,60052.0
73,0.73,873.0,69733.0
74,0.74,956.0,81056.0
75,0.75,1064.0,94135.0
76,0.76,1182.0,109392.0
77,0.77,1314.0,127140.0
78,0.78,1459.0,147642.0
79,0.79,1636.0,171240.0
80,0.8,1811.0,198635.0
81,0.81,2012.0,230651.0
82,0.82,2221.0,267988.0
83,0.83,2447.0,311432.0
84,0.84,2699.0,361301.0
85,0.85,2988.0,419480.0
86,0.86,3303.0,486596.0
87,0.87,3643.0,565291.0
88,0.88,4028.0,656823.0
89,0.89,4440.0,762974.0
90,0.9,4920.0,885470.0
91,0.91,5452.0,1028486.0
92,0.92,6012.0,1194506.0
93,0.93,6585.0,1387134.0
94,0.94,7294.0,1611336.0
95,0.95,8065.0,1872237.0
96,0.96,8885.0,2174888.0
97,0.97,9845.0,2526145.0
98,0.98,10887.0,2934665.0
99,0.99,12076.0,3409227.0
100,1.0,13302.0,3959707.0
101,1.01,14721.0,4600040.0
102,1.02,16299.0,5344036.0
103,1.03,17906.0,6208732.0
104,1.04,19826.0,7213736.0
105,1.05,21954.0,8379129.0
106,1.06,24202.0,9735128.0
107,1.07,26815.0,11310765.0
108,1.08,29610.0,13139808.0
109,1.09,32766.0,15264465.0
110,1.1,36180.0,17732874.0
111,1.11,40071.0,20605698.0
112,1.12,44302.0,23942249.0
113,1.13,48976.0,27814591.0
114,1.14,54128.0,32313339.0
115,1.15,59816.0,37542639.0
116,1.16,66092.0,43620594.0
117,1.17,72997.0,50680249.0
118,1.18,80709.0,58883872.0
119,1.19,89249.0,68418635.0
120,1.2,98489.0,79493663.0
