,time,z_minus,z_plus
0,0.0,1.0,1.0
1,0.01,1.0,1.0
2,0.02,1.0,1.0
3,0.03,1.0,1.0
4,0.04,1.0,1.0
5,0.05,1.0,1.0
6,0.06,1.0,1.0
7,0.07,1.0,1.0
8,0.08,1.0,1.0
9,0.09,1.0,1.0
10,0.1,1.0,2.0
11,0.11,2.0,3.0
12,0.12,2.0,6.0
13,0.13,2.0,7.0
14,0.14,3.0,7.0
15,0.15,4.0,9.0
16,0.16,5.0,10.0
17,0.17,5.0,10.0
18,0.18,6.0,11.0
19,0.19,6.0,12.0
20,0.2,6.0,16.0
21,0.21,6.0,19.0
22,0.22,6.0,27.0
23,0.23,7.0,33.0
24,0.24,7.0,38.0
25,0.25,8.0,46.0
26,0.26,9.0,49.0
27,0.27,11.0,57.0
28,0.28,11.0,65.0
29,0.29,11.0,75.0
30,0.3,12.0,89.0
31,0.31,12.0,108.0
32,0.32,14.0,125.0
33,0.33,15.0,148.0
34,0.34,16.0,167.0
35,0.35,18.0,196.0
36,0.36,22.0,226.0
37,0.37,25.0,254.0
38,0.38,25.0,306.0
39,0.39,29.0,356.0
40,0.4,34.0,417.0
41,0.41,36.0,468.0
42,0.42,38.0,556.0
43,0.43,42.0,648.0
44,0.44,48.0,757.0
45,0.45,53.0,889.0
46,0.46,60.0,1023.0
47,0.47,64.0,1179.0
48,0.48,71.0,1374.0
49,0.49,79.0,1589.0
50,0.5,86.0,1824.0
51,0.51,94.0,2125.0
52,0.52,112.0,2479.0
53,0.53,121.0,2877.0
54,0.54,131.0,3372.0
55,0.55,146.0,3910.0
56,0.56,159.0,4563.0
57,0.57,175.0,5307.0
58,0.58,195.0,6177.0
59,0.59,214.0,7217.0
60,0.6,238.0,8422.0
61,0.61,262.0,9735.0
62,0.62,290.0,11315.0
63,0.63,331.0,13138.0
64,0.64,351.0,15247.0
65,0.65,381.0,17800.0
66,0.66,414.0,20590.0
67,0.67,459.0,23885.0
68,0.68,507.0,27786.0
69,0.69,559.0,32343.0
70,0.7,607.0,37607.0
71,0.71,669.0,43718.0
72,0.72,737.0,50793.0
73,0.73,818.0,59074.0
74,0.74,901.0,68604.0
75,0.75,991.0,79623.0
76,0.76,1101.0,92549.0
77,0.77,1209.0,107495.0
78,0.78,1341.0,124848.0
79,0.79,1474.0,145294.0
80,0.8,1640.0,168594.0
81,0.81,1826.0,195885.0
82,0.82,2028.0,227483.0
83,0.83,2238.0,264116.0
84,0.84,2482.0,306794.0
85,0.85,2733.0,356607.0
86,0.86,3014.0,414416.0
87,0.87,3281.0,481518.0
88,0.88,3661.0,558981.0
89,0.89,4059.0,649348.0
90,0.9,4513.0,753912.0
91,0.91,4939.0,876078.0
92,0.92,5460.0,1018504.0
93,0.93,6003.0,1182892.0
94,0.94,6660.0,1373833.0
95,0.95,7401.0,1596684.0
96,0.96,8230.0,1855567.0
97,0.97,9119.0,2155875.0
98,0.98,10086.0,2505013.0
99,0.99,11103.0,2909868.0
100,1.0,12209.0,3381558.0
101,1.01,13580.0,3928637.0
102,1.02,15079.0,4564834.0
103,1.03,16663.0,5303454.0
104,1.04,18372.0,6159724.0
105,1.05,20366.0,7155204.0
106,1.06,22558.0,8314205.0
107,1.07,24918.0,9661202.0
108,1.08,27499.0,11223369.0
109,1.09,30413.0,13037792.0
110,1.1,33677.0,15145085.0
111,1.11,37248.0,17594161.0
112,1.12,41147.0,20442950.0
113,1.13,45356.0,23748975.0
114,1.14,50168.0,27594554.0
115,1.15,55443.0,32062815.0
116,1.16,61261.0,37250584.0
117,1.17,67661.0,43278575.0
118,1.18,74883.0,50287242.0
119,1.19,82881.0,58425311.0
120,1.2,91514.0,67882510.0
