,time,z_minus,z_plus
0,0.0,1.0,1.0
1,0.01,1.0,1.0
2,0.02,1.0,1.0
3,0.03,1.0,1.0
4,0.04,1.0,1.0
5,0.05,1.0,2.0
6,0.06,1.0,2.0
7,0.07,1.0,2.0
8,0.08,1.0,2.0
9,0.09,1.0,5.0
10,0.1,1.0,6.0
11,0.11,1.0,7.0
12,0.12,1.0,9.0
13,0.13,2.0,13.0
14,0.14,2.0,14.0
15,0.15,2.0,16.0
16,0.16,3.0,20.0
17,0.17,3.0,24.0
18,0.18,3.0,27.0
19,0.19,5.0,31.0
20,0.2,5.0,33.0
21,0.21,5.0,40.0
22,0.22,6.0,44.0
23,0.23,6.0,52.0
24,0.24,6.0,62.0
25,0.25,7.0,75.0
26,0.26,9.0,95.0
27,0.27,9.0,109.0
28,0.28,9.0,126.0
29,0.29,12.0,143.0
30,0.3,13.0,154.0
31,0.31,15.0,190.0
32,0.32,16.0,221.0
33,0.33,16.0,256.0
34,0.34,18.0,296.0
35,0.35,19.0,346.0
36,0.36,21.0,407.0
37,0.37,26.0,467.0
38,0.38,29.0,548.0
39,0.39,31.0,626.0
40,0.4,33.0,740.0
41,0.41,38.0,843.0
42,0.42,42.0,995.0
43,0.43,43.0,1167.0
44,0.44,46.0,1341.0
45,0.45,51.0,1539.0
46,0.46,54.0,1798.0
47,0.47,61.0,2085.0
48,0.48,66.0,2422.0
49,0.49,73.0,2790.0
50,0.5,84.0,3263.0
51,0.51,90.0,3811.0
52,0.52,103.0,4427.0
53,0.53,120.0,5106.0
54,0.54,129.0,5913.0
55,0.55,144.0,6833.0
56,0.56,151.0,7923.0
57,0.57,163.0,9163.0
58,0.58,177.0,10703.0
59,0.59,206.0,12478.0
60,0.6,221.0,14532.0
61,0.61,246.0,16889.0
62,0.62,271.0,19538.0
63,0.63,293.0,22738.0
64,0.64,320.0,26416.0
65,0.65,356.0,30757.0
66,0.66,381.0,35808.0
67,0.67,422.0,41649.0
68,0.68,459.0,48491.0
69,0.69,500.0,56357.0
70,0.7,565.0,65402.0
71,0.71,628.0,75925.0
72,0.72,699.0,88344.0
73,0.73,777.0,102488.0
74,0.74,865.0,119007.0
75,0.75,966.0,138432.0
76,0.76,1074.0,160774.0
77,0.77,1202.0,186898.0
78,0.78,1327.0,216994.0
79,0.79,1483.0,251822.0
80,0.8,1643.0,292858.0
81,0.81,1811.0,340370.0
82,0.82,2023.0,395328.0
83,0.83,2237.0,459210.0
84,0.84,2482.0,533506.0
85,0.85,2729.0,620285.0
86,0.86,2994.0,720541.0
87,0.87,3309.0,837355.0
88,0.88,3684.0,972911.0
89,0.89,4064.0,1129550.0
90,0.9,4506.0,1312212.0
91,0.91,4986.0,1524481.0
92,0.92,5534.0,1771113.0
93,0.93,6114.0,2057166.0
94,0.94,6724.0,2389580.0
95,0.95,7466.0,2776214.0
96,0.96,8205.0,3225570.0
97,0.97,9031.0,3748356.0
98,0.98,9951.0,4355550.0
99,0.99,10943.0,5059597.0
100,1.0,12044.0,5877950.0
101,1.01,13347.0,6827056.0
102,1.02,14778.0,7931493.0
103,1.03,16272.0,9216437.0
104,1.04,18026.0,10706233.0
105,1.05,19863.0,12438540.0
106,1.06,21931.0,14449739.0
107,1.07,24154.0,16785108.0
108,1.08,26669.0,19501336.0
109,1.09,29447.0,22653991.0
110,1.1,32526.0,26324770.0
111,1.11,35879.0,30581085.0
112,1.12,39629.0,35531217.0
113,1.13,43774.0,41284371.0
114,1.14,48426.0,47970093.0
115,1.15,53465.0,55731067.0
116,1.16,59128.0,64750698.0
117,1.17,65456.0,75230051.0
118,1.18,72475.0,87405291.0
119,1.19,80263.0,101552436.0
120,1.2,88626.0,117989616.0
