,time,z_minus,z_plus
0,0.0,1.0,1.0
1,0.01,1.0,2.0
2,0.02,1.0,2.0
3,0.03,1.0,2.0
4,0.04,1.0,3.0
5,0.05,1.0,4.0
6,0.06,1.0,5.0
7,0.07,1.0,6.0
8,0.08,1.0,6.0
9,0.09,1.0,6.0
10,0.1,1.0,7.0
11,0.11,1.0,8.0
12,0.12,1.0,9.0
13,0.13,2.0,11.0
14,0.14,2.0,12.0
15,0.15,2.0,13.0
16,0.16,2.0,14.0
17,0.17,2.0,17.0
18,0.18,3.0,21.0
19,0.19,3.0,21.0
20,0.2,3.0,25.0
21,0.21,3.0,26.0
22,0.22,3.0,34.0
23,0.23,4.0,45.0
24,0.24,5.0,56.0
25,0.25,5.0,61.0
26,0.26,5.0,77.0
27,0.27,6.0,91.0
28,0.28,6.0,107.0
29,0.29,7.0,122.0
30,0.3,7.0,139.0
31,0.31,11.0,155.0
32,0.32,12.0,185.0
33,0.33,12.0,211.0
34,0.34,14.0,235.0
35,0.35,16.0,269.0
36,0.36,16.0,305.0
37,0.37,20.0,347.0
38,0.38,21.0,408.0
39,0.39,21.0,470.0
40,0.4,22.0,553.0
41,0.41,25.0,632.0
42,0.42,26.0,744.0
43,0.43,28.0,869.0
44,0.44,32.0,1015.0
45,0.45,35.0,1188.0
46,0.46,38.0,1396.0
47,0.47,38.0,1632.0
48,0.48,42.0,1903.0
49,0.49,44.0,2193.0
50,0.5,48.0,2534.0
51,0.51,57.0,2961.0
52,0.52,62.0,3401.0
53,0.53,74.0,3960.0
54,0.54,81.0,4629.0
55,0.55,89.0,5371.0
56,0.56,97.0,6265.0
57,0.57,111.0,7249.0
58,0.58,129.0,8384.0
59,0.59,138.0,9657.0
60,0.6,151.0,11255.0
61,0.61,168.0,13060.0
62,0.62,188.0,15228.0
63,0.63,209.0,17795.0
64,0.64,230.0,20604.0
65,0.65,266.0,24049.0
66,0.66,293.0,27957.0
67,0.67,330.0,32473.0
68,0.68,353.0,37800.0
69,0.69,381.0,43830.0
70,0.7,415.0,50894.0
71,0.71,459.0,59351.0
72,0.72,518.0,69041.0
73,0.73,575.0,80142.0
74,0.74,627.0,93096.0
75,0.75,693.0,108349.0
76,0.76,758.0,125880.0
77,0.77,837.0,146359.0
78,0.78,939.0,170200.0
79,0.79,1050.0,198050.0
80,0.8,1163.0,230363.0
81,0.81,1302.0,267645.0
82,0.82,1415.0,311058.0
83,0.83,1562.0,361615.0
84,0.84,1756.0,419729.0
85,0.85,1947.0,487464.0
86,0.86,2146.0,565664.0
87,0.87,2391.0,656732.0
88,0.88,2627.0,763007.0
89,0.89,2911.0,885902.0
90,0.9,3212.0,1029544.0
91,0.91,3564.0,1196155.0
92,0.92,3963.0,1389889.0
93,0.93,4356.0,1614002.0
94,0.94,4800.0,1874397.0
95,0.95,5344.0,2178043.0
96,0.96,5892.0,2530242.0
97,0.97,6487.0,2939060.0
98,0.98,7165.0,3415865.0
99,0.99,7901.0,3966638.0
100,1.0,8784.0,4607643.0
101,1.01,9722.0,5354127.0
102,1.02,10744.0,6221613.0
103,1.03,11802.0,7226313.0
104,1.04,13063.0,8397068.0
105,1.05,14412.0,9756426.0
106,1.06,15919.0,11336032.0
107,1.07,17617.0,13170253.0
108,1.08,19485.0,15304195.0
109,1.09,21532.0,17779756.0
110,1.1,23732.0,20655833.0
111,1.11,26174.0,23997809.0
112,1.12,28908.0,27882769.0
113,1.13,32006.0,32395844.0
114,1.14,35400.0,37643515.0
115,1.15,39204.0,43734236.0
116,1.16,43342.0,50805779.0
117,1.17,47893.0,59025775.0
118,1.18,52933.0,68582137.0
119,1.19,58492.0,79680871.0
120,1.2,64587.0,92580668.0
