,time,z_minus,z_plus
0,0.0,1.0,1.0
1,0.01,1.0,1.0
2,0.02,1.0,1.0
3,0.03,2.0,1.0
4,0.04,3.0,1.0
5,0.05,3.0,2.0
6,0.06,3.0,2.0
7,0.07,4.0,2.0
8,0.08,5.0,2.0
9,0.09,5.0,3.0
10,0.1,5.0,3.0
11,0.11,5.0,5.0
12,0.12,7.0,6.0
13,0.13,7.0,6.0
14,0.14,8.0,7.0
15,0.15,10.0,7.0
16,0.16,11.0,7.0
17,0.17,12.0,9.0
18,0.18,12.0,10.0
19,0.19,13.0,12.0
20,0.2,16.0,14.0
21,0.21,22.0,15.0
22,0.22,26.0,17.0
23,0.23,28.0,19.0
24,0.24,33.0,19.0
25,0.25,34.0,20.0
26,0.26,40.0,24.0
27,0.27,42.0,27.0
28,0.28,46.0,31.0
29,0.29,50.0,38.0
30,0.3,53.0,48.0
31,0.31,65.0,53.0
32,0.32,74.0,62.0
33,0.33,83.0,76.0
34,0.34,89.0,85.0
35,0.35,95.0,99.0
36,0.36,108.0,109.0
37,0.37,123.0,123.0
38,0.38,135.0,148.0
39,0.39,144.0,180.0
40,0.4,150.0,212.0
41,0.41,172.0,247.0
42,0.42,185.0,287.0
43,0.43,208.0,342.0
44,0.44,230.0,400.0
45,0.45,242.0,471.0
46,0.46,259.0,552.0
47,0.47,290.0,633.0
48,0.48,321.0,722.0
49,0.49,349.0,848.0
50,0.5,378.0,1007.0
51,0.51,415.0,1187.0
52,0.52,456.0,1341.0
53,0.53,500.0,1548.0
54,0.54,543.0,1810.0
55,0.55,603.0,2086.0
56,0.56,660.0,2433.0
57,0.57,727.0,2797.0
58,0.58,788.0,3221.0
59,0.59,855.0,3741.0
60,0.6,940.0,4359.0
61,0.61,1027.0,5112.0
62,0.62,1145.0,5956.0
63,0.63,1268.0,6937.0
64,0.64,1401.0,8061.0
65,0.65,1551.0,9337.0
66,0.66,1701.0,10889.0
67,0.67,1858.0,12674.0
68,0.68,2048.0,14725.0
69,0.69,2268.0,17019.0
70,0.7,2540.0,19594.0
71,0.71,2818.0,22803.0
72,0.72,3122.0,26475.0
73,0.73,3452.0,30742.0
74,0.74,3809.0,35767.0
75,0.75,4199.0,41620.0
76,0.76,4633.0,48287.0
77,0.77,5113.0,56113.0
78,0.78,5692.0,65191.0
79,0.79,6303.0,75578.0
80,0.8,6968.0,87778.0
81,0.81,7666.0,102192.0
82,0.82,8445.0,118707.0
83,0.83,9361.0,138045.0
84,0.84,10283.0,160312.0
85,0.85,11404.0,186102.0
86,0.86,12589.0,216236.0
87,0.87,13915.0,251181.0
88,0.88,15416.0,291774.0
89,0.89,17028.0,338983.0
90,0.9,18890.0,394213.0
91,0.91,20958.0,458045.0
92,0.92,23186.0,532320.0
93,0.93,25577.0,618677.0
94,0.94,28281.0,718319.0
95,0.95,31243.0,835073.0
96,0.96,34439.0,970125.0
97,0.97,38035.0,1127237.0
98,0.98,42051.0,1310093.0
99,0.99,46509.0,1522347.0
100,1.0,51391.0,1768245.0
101,1.01,56721.0,2053262.0
102,1.02,62624.0,2385389.0
103,1.03,69299.0,2771871.0
104,1.04,76554.0,3218772.0
105,1.05,84498.0,3739231.0
106,1.06,93348.0,4344713.0
107,1.07,103419.0,5046571.0
108,1.08,114261.0,5863005.0
109,1.09,126188.0,6812881.0
110,1.1,139384.0,7915371.0
111,1.11,153856.0,9198349.0
112,1.12,169870.0,10681675.0
113,1.13,187784.0,12409243.0
114,1.14,207550.0,14418558.0
115,1.15,229361.0,16750718.0
116,1.16,253266.0,19462936.0
117,1.17,280071.0,22613321.0
118,1.18,309015.0,26273012.0
119,1.19,341495.0,30520679.0
120,1.2,377292.0,35461962.0
