,time,z_minus,z_plus
0,0.0,1.0,1.0
1,0.01,2.0,1.0
2,0.02,2.0,1.0
3,0.03,2.0,1.0
4,0.04,2.0,1.0
5,0.05,3.0,1.0
6,0.06,3.0,1.0
7,0.07,3.0,1.0
8,0.08,3.0,1.0
9,0.09,4.0,1.0
10,0.1,4.0,1.0
11,0.11,4.0,2.0
12,0.12,4.0,2.0
13,0.13,4.0,2.0
14,0.14,4.0,2.0
15,0.15,4.0,2.0
16,0.16,4.0,2.0
17,0.17,4.0,2.0
18,0.18,4.0,2.0
19,0.19,4.0,2.0
20,0.2,6.0,2.0
21,0.21,6.0,2.0
22,0.22,6.0,2.0
23,0.23,6.0,3.0
24,0.24,7.0,3.0
25,0.25,9.0,3.0
26,0.26,10.0,4.0
27,0.27,10.0,6.0
28,0.28,13.0,8.0
29,0.29,13.0,9.0
30,0.3,13.0,10.0
31,0.31,13.0,10.0
32,0.32,13.0,11.0
33,0.33,15.0,15.0
34,0.34,16.0,15.0
35,0.35,18.0,19.0
36,0.36,20.0,23.0
37,0.37,22.0,25.0
38,0.38,25.0,31.0
39,0.39,29.0,34.0
40,0.4,31.0,40.0
41,0.41,38.0,46.0
42,0.42,41.0,55.0
43,0.43,42.0,71.0
44,0.44,47.0,83.0
45,0.45,52.0,98.0
46,0.46,62.0,113.0
47,0.47,70.0,128.0
48,0.48,82.0,157.0
49,0.49,98.0,179.0
50,0.5,106.0,215.0
51,0.51,116.0,250.0
52,0.52,125.0,278.0
53,0.53,137.0,319.0
54,0.54,160.0,358.0
55,0.55,178.0,411.0
56,0.56,195.0,484.0
57,0.57,213.0,565.0
58,0.58,237.0,668.0
59,0.59,264.0,790.0
60,0.6,298.0,935.0
61,0.61,325.0,1096.0
62,0.62,366.0,1279.0
63,0.63,397.0,1495.0
64,0.64,430.0,1736.0
65,0.65,486.0,2044.0
66,0.66,551.0,2344.0
67,0.67,597.0,2724.0
68,0.68,661.0,3119.0
69,0.69,729.0,3663.0
70,0.7,816.0,4240.0
71,0.71,898.0,4918.0
72,0.72,1014.0,5682.0
73,0.73,1125.0,6641.0
74,0.74,1262.0,7769.0
75,0.75,1406.0,9054.0
76,0.76,1547.0,10588.0
77,0.77,1717.0,12278.0
78,0.78,1866.0,14344.0
79,0.79,2066.0,16679.0
80,0.8,2271.0,19532.0
81,0.81,2510.0,22653.0
82,0.82,2787.0,26277.0
83,0.83,3083.0,30536.0
84,0.84,3399.0,35569.0
85,0.85,3776.0,41263.0
86,0.86,4162.0,47999.0
87,0.87,4540.0,55655.0
88,0.88,5035.0,64715.0
89,0.89,5546.0,75173.0
90,0.9,6129.0,87191.0
91,0.91,6782.0,101373.0
92,0.92,7535.0,117681.0
93,0.93,8321.0,136818.0
94,0.94,9162.0,159028.0
95,0.95,10074.0,184868.0
96,0.96,11109.0,214884.0
97,0.97,12281.0,249678.0
98,0.98,13616.0,290226.0
99,0.99,15038.0,336977.0
100,1.0,16609.0,391556.0
101,1.01,18321.0,454636.0
102,1.02,20292.0,528185.0
103,1.03,22403.0,613544.0
104,1.04,24713.0,712728.0
105,1.05,27361.0,828425.0
106,1.06,30292.0,962404.0
107,1.07,33616.0,1117408.0
108,1.08,37143.0,1298472.0
109,1.09,41029.0,1508511.0
110,1.1,45313.0,1752691.0
111,1.11,50175.0,2035588.0
112,1.12,55459.0,2365225.0
113,1.13,61334.0,2747958.0
114,1.14,67785.0,3193183.0
115,1.15,74903.0,3709737.0
116,1.16,82726.0,4311000.0
117,1.17,91440.0,5008737.0
118,1.18,101129.0,5818454.0
119,1.19,111802.0,6759822.0
120,1.2,123440.0,7854151.0
