,time,z_minus,z_plus
0,0.0,1.0,1.0
1,0.01,1.0,1.0
2,0.02,1.0,1.0
3,0.03,2.0,1.0
4,0.04,2.0,2.0
5,0.05,2.0,2.0
6,0.06,2.0,2.0
7,0.07,3.0,3.0
8,0.08,3.0,7.0
9,0.09,3.0,7.0
10,0.1,3.0,10.0
11,0.11,3.0,12.0
12,0.12,3.0,15.0
13,0.13,3.0,17.0
14,0.14,5.0,21.0
15,0.15,5.0,23.0
16,0.16,6.0,27.0
17,0.17,7.0,34.0
18,0.18,7.0,40.0
19,0.19,7.0,47.0
20,0.2,7.0,53.0
21,0.21,7.0,58.0
22,0.22,7.0,72.0
23,0.23,7.0,83.0
24,0.24,8.0,99.0
25,0.25,10.0,115.0
26,0.26,12.0,135.0
27,0.27,12.0,154.0
28,0.28,15.0,174.0
29,0.29,16.0,199.0
30,0.3,16.0,229.0
31,0.31,16.0,265.0
32,0.32,19.0,311.0
33,0.33,20.0,359.0
34,0.34,23.0,411.0
35,0.35,24.0,477.0
36,0.36,27.0,546.0
37,0.37,30.0,642.0
38,0.38,31.0,737.0
39,0.39,37.0,878.0
40,0.4,42.0,1019.0
41,0.41,44.0,1175.0
42,0.42,47.0,1352.0
43,0.43,48.0,1576.0
44,0.44,54.0,1855.0
45,0.45,66.0,2154.0
46,0.46,72.0,2484.0
47,0.47,79.0,2902.0
48,0.48,86.0,3393.0
49,0.49,93.0,3909.0
50,0.5,104.0,4546.0
51,0.51,126.0,5285.0
52,0.52,136.0,6120.0
53,0.53,146.0,7102.0
54,0.54,170.0,8245.0
55,0.55,186.0,9588.0
56,0.56,216.0,11150.0
57,0.57,234.0,13027.0
58,0.58,260.0,15108.0
59,0.59,282.0,17565.0
60,0.6,318.0,20409.0
61,0.61,352.0,23691.0
62,0.62,379.0,27457.0
63,0.63,421.0,31951.0
64,0.64,470.0,37085.0
65,0.65,517.0,43054.0
66,0.66,557.0,50059.0
67,0.67,612.0,57928.0
68,0.68,683.0,67344.0
69,0.69,746.0,78063.0
70,0.7,827.0,90529.0
71,0.71,907.0,105229.0
72,0.72,986.0,122281.0
73,0.73,1082.0,141987.0
74,0.74,1199.0,164842.0
75,0.75,1325.0,191422.0
76,0.76,1445.0,222354.0
77,0.77,1584.0,258718.0
78,0.78,1767.0,300289.0
79,0.79,1969.0,348753.0
80,0.8,2176.0,405374.0
81,0.81,2415.0,470760.0
82,0.82,2686.0,546739.0
83,0.83,2948.0,635442.0
84,0.84,3252.0,738231.0
85,0.85,3592.0,857629.0
86,0.86,4009.0,996093.0
87,0.87,4423.0,1156860.0
88,0.88,4891.0,1344541.0
89,0.89,5439.0,1561810.0
90,0.9,6023.0,1814228.0
91,0.91,6615.0,2106801.0
92,0.92,7355.0,2449837.0
93,0.93,8112.0,2845546.0
94,0.94,9017.0,3306275.0
95,0.95,9965.0,3841125.0
96,0.96,11023.0,4464563.0
97,0.97,12150.0,5186038.0
98,0.98,13421.0,6025765.0
99,0.99,14778.0,7002325.0
100,1.0,16331.0,8135715.0
101,1.01,18018.0,9449943.0
102,1.02,19862.0,10976697.0
103,1.03,21989.0,12753031.0
104,1.04,24335.0,14815482.0
105,1.05,26844.0,17213408.0
106,1.06,29632.0,19998642.0
107,1.07,32786.0,23236115.0
108,1.08,36398.0,26997939.0
109,1.09,40229.0,31365785.0
110,1.1,44392.0,36443719.0
111,1.11,49124.0,42336811.0
112,1.12,54364.0,49186359.0
113,1.13,60019.0,57141119.0
114,1.14,66305.0,66385591.0
115,1.15,73183.0,77126353.0
116,1.16,80826.0,89603760.0
117,1.17,89287.0,104107753.0
118,1.18,98599.0,120953144.0
119,1.19,108889.0,140530892.0
120,1.2,120298.0,163275865.0
