,time,z_minus,z_plus
0,0.0,1.0,0.0
1,0.01,2.0,0.0
2,0.02,2.0,0.0
3,0.03,3.0,0.0
4,0.04,4.0,0.0
5,0.05,4.0,0.0
6,0.06,5.0,0.0
7,0.07,5.0,0.0
8,0.08,7.0,0.0
9,0.09,9.0,0.0
10,0.1,9.0,0.0
11,0.11,10.0,0.0
12,0.12,12.0,0.0
13,0.13,17.0,0.0
14,0.14,20.0,0.0
15,0.15,22.0,0.0
16,0.16,25.0,0.0
17,0.17,26.0,0.0
18,0.18,28.0,0.0
19,0.19,33.0,0.0
20,0.2,35.0,0.0
21,0.21,39.0,0.0
22,0.22,41.0,0.0
23,0.23,48.0,0.0
24,0.24,52.0,0.0
25,0.25,55.0,0.0
26,0.26,58.0,0.0
27,0.27,61.0,0.0
28,0.28,65.0,0.0
29,0.29,69.0,0.0
30,0.3,76.0,0.0
31,0.31,80.0,0.0
32,0.32,87.0,0.0
33,0.33,98.0,0.0
34,0.34,105.0,0.0
35,0.35,114.0,2.0
36,0.36,122.0,2.0
37,0.37,132.0,3.0
38,0.38,140.0,4.0
39,0.39,153.0,4.0
40,0.4,167.0,5.0
41,0.41,184.0,6.0
42,0.42,204.0,7.0
43,0.43,222.0,7.0
44,0.44,242.0,10.0
45,0.45,268.0,13.0
46,0.46,307.0,14.0
47,0.47,339.0,16.0
48,0.48,373.0,17.0
49,0.49,420.0,20.0
50,0.5,456.0,28.0
51,0.51,498.0,34.0
52,0.52,545.0,39.0
53,0.53,601.0,46.0
54,0.54,666.0,54.0
55,0.55,727.0,62.0
56,0.56,805.0,71.0
57,0.57,886.0,84.0
58,0.58,996.0,105.0
59,0.59,1120.0,122.0
60,0.6,1227.0,150.0
61,0.61,1349.0,170.0
62,0.62,1490.0,209.0
63,0.63,1660.0,250.0
64,0.64,1835.0,294.0
65,0.65,2024.0,335.0
66,0.66,2248.0,389.0
67,0.67,2469.0,450.0
68,0.68,2731.0,516.0
69,0.69,3015.0,604.0
70,0.7,3333.0,698.0
71,0.71,3676.0,820.0
72,0.72,4071.0,938.0
73,0.73,4493.0,1096.0
74,0.74,4974.0,1273.0
75,0.75,5476.0,1482.0
76,0.76,6077.0,1746.0
77,0.77,6709.0,2021.0
78,0.78,7454.0,2368.0
79,0.79,8220.0,2764.0
80,0.8,9054.0,3186.0
81,0.81,10042.0,3704.0
82,0.82,11023.0,4332.0
83,0.83,12174.0,5063.0
84,0.84,13459.0,5904.0
85,0.85,14790.0,6873.0
86,0.86,16374.0,7992.0
87,0.87,18056.0,9292.0
88,0.88,19894.0,10798.0
89,0.89,21987.0,12540.0
90,0.9,24329.0,14544.0
91,0.91,26950.0,16838.0
92,0.92,29805.0,19569.0
93,0.93,32894.0,22763.0
94,0.94,36312.0,26471.0
95,0.95,40179.0,30824.0
96,0.96,44436.0,35755.0
97,0.97,49120.0,41684.0
98,0.98,54170.0,48371.0
99,0.99,59822.0,56431.0
100,1.0,65955.0,65808.0
101,1.01,72987.0,76516.0
102,1.02,80742.0,89002.0
103,1.03,89229.0,103497.0
104,1.04,98535.0,120489.0
105,1.05,108938.0,140101.0
106,1.06,120426.0,162594.0
107,1.07,132998.0,189040.0
108,1.08,146830.0,219739.0
109,1.09,162174.0,255392.0
110,1.1,179260.0,297146.0
111,1.11,198295.0,345239.0
112,1.12,219210.0,401423.0
113,1.13,242611.0,466454.0
114,1.14,268134.0,542224.0
115,1.15,296216.0,630586.0
116,1.16,327502.0,732686.0
117,1.17,362245.0,851539.0
118,1.18,400082.0,989257.0
119,1.19,442169.0,1149088.0
120,1.2,488620.0,1334963.0
