,time,z_minus,z_plus
0,0.0,1.0,0.0
1,0.01,3.0,0.0
2,0.02,3.0,0.0
3,0.03,3.0,0.0
4,0.04,3.0,0.0
5,0.05,4.0,0.0
6,0.06,6.0,0.0
7,0.07,7.0,0.0
8,0.08,9.0,0.0
9,0.09,9.0,0.0
10,0.1,9.0,0.0
11,0.11,10.0,0.0
12,0.12,15.0,0.0
13,0.13,17.0,0.0
14,0.14,19.0,0.0
15,0.15,22.0,0.0
16,0.16,22.0,0.0
17,0.17,24.0,0.0
18,0.18,27.0,0.0
19,0.19,31.0,0.0
20,0.2,34.0,1.0
21,0.21,39.0,1.0
22,0.22,42.0,1.0
23,0.23,48.0,2.0
24,0.24,53.0,2.0
25,0.25,63.0,3.0
26,0.26,68.0,4.0
27,0.27,74.0,5.0
28,0.28,82.0,6.0
29,0.29,89.0,7.0
30,0.3,100.0,8.0
31,0.31,109.0,9.0
32,0.32,117.0,9.0
33,0.33,131.0,14.0
34,0.34,144.0,16.0
35,0.35,166.0,19.0
36,0.36,181.0,23.0
37,0.37,193.0,26.0
38,0.38,217.0,29.0
39,0.39,235.0,32.0
40,0.4,264.0,41.0
41,0.41,294.0,52.0
42,0.42,324.0,56.0
43,0.43,359.0,66.0
44,0.44,406.0,75.0
45,0.45,453.0,88.0
46,0.46,501.0,99.0
47,0.47,549.0,122.0
48,0.48,604.0,144.0
49,0.49,643.0,167.0
50,0.5,706.0,198.0
51,0.51,777.0,226.0
52,0.52,851.0,248.0
53,0.53,964.0,296.0
54,0.54,1075.0,356.0
55,0.55,1206.0,394.0
56,0.56,1329.0,469.0
57,0.57,1465.0,531.0
58,0.58,1639.0,607.0
59,0.59,1799.0,707.0
60,0.6,1980.0,811.0
61,0.61,2182.0,964.0
62,0.62,2421.0,1143.0
63,0.63,2678.0,1327.0
64,0.64,2983.0,1543.0
65,0.65,3310.0,1798.0
66,0.66,3670.0,2110.0
67,0.67,4046.0,2439.0
68,0.68,4457.0,2819.0
69,0.69,4933.0,3290.0
70,0.7,5471.0,3827.0
71,0.71,6055.0,4463.0
72,0.72,6675.0,5225.0
73,0.73,7370.0,6078.0
74,0.74,8167.0,7080.0
75,0.75,8991.0,8244.0
76,0.76,9955.0,9627.0
77,0.77,11018.0,11222.0
78,0.78,12169.0,12994.0
79,0.79,13468.0,15119.0
80,0.8,14877.0,17538.0
81,0.81,16419.0,20361.0
82,0.82,18110.0,23698.0
83,0.83,20033.0,27564.0
84,0.84,22151.0,32140.0
85,0.85,24472.0,37520.0
86,0.86,26938.0,43731.0
87,0.87,29803.0,50898.0
88,0.88,32861.0,59215.0
89,0.89,36293.0,68689.0
90,0.9,40216.0,79901.0
91,0.91,44547.0,93113.0
92,0.92,49192.0,108345.0
93,0.93,54325.0,126144.0
94,0.94,59981.0,146878.0
95,0.95,66337.0,170785.0
96,0.96,73316.0,198899.0
97,0.97,81052.0,231255.0
98,0.98,89550.0,268966.0
99,0.99,99021.0,312674.0
100,1.0,109582.0,363660.0
101,1.01,121049.0,422327.0
102,1.02,133789.0,491110.0
103,1.03,148015.0,570826.0
104,1.04,163472.0,663412.0
105,1.05,180605.0,771140.0
106,1.06,199699.0,896429.0
107,1.07,220777.0,1042012.0
108,1.08,244189.0,1210978.0
109,1.09,270188.0,1406549.0
110,1.1,298840.0,1634534.0
111,1.11,330270.0,1900149.0
112,1.12,365017.0,2207955.0
113,1.13,403664.0,2564771.0
114,1.14,446450.0,2980677.0
115,1.15,493456.0,3463298.0
116,1.16,545649.0,4023984.0
117,1.17,604000.0,4676293.0
118,1.18,667916.0,5433919.0
119,1.19,738719.0,6313839.0
120,1.2,816830.0,7337277.0
