,time,z_minus,z_plus
0,0.0,1.0,0.0
1,0.01,1.0,0.0
2,0.02,1.0,0.0
3,0.03,1.0,0.0
4,0.04,1.0,0.0
5,0.05,1.0,0.0
6,0.06,1.0,0.0
7,0.07,1.0,0.0
8,0.08,2.0,0.0
9,0.09,2.0,0.0
10,0.1,2.0,0.0
11,0.11,2.0,0.0
12,0.12,2.0,0.0
13,0.13,2.0,0.0
14,0.14,2.0,0.0
15,0.15,2.0,0.0
16,0.16,2.0,0.0
17,0.17,2.0,0.0
18,0.18,3.0,0.0
19,0.19,4.0,0.0
20,0.2,4.0,0.0
21,0.21,4.0,0.0
22,0.22,4.0,0.0
23,0.23,4.0,0.0
24,0.24,5.0,0.0
25,0.25,8.0,0.0
26,0.26,11.0,0.0
27,0.27,12.0,0.0
28,0.28,13.0,1.0
29,0.29,14.0,1.0
30,0.3,14.0,1.0
31,0.31,18.0,1.0
32,0.32,20.0,1.0
33,0.33,23.0,2.0
34,0.34,26.0,3.0
35,0.35,31.0,4.0
36,0.36,32.0,7.0
37,0.37,37.0,7.0
38,0.38,40.0,8.0
39,0.39,42.0,9.0
40,0.4,47.0,9.0
41,0.41,51.0,9.0
42,0.42,58.0,9.0
43,0.43,69.0,10.0
44,0.44,75.0,11.0
45,0.45,77.0,12.0
46,0.46,89.0,16.0
47,0.47,102.0,17.0
48,0.48,112.0,20.0
49,0.49,123.0,20.0
50,0.5,133.0,25.0
51,0.51,149.0,25.0
52,0.52,166.0,26.0
53,0.53,180.0,29.0
54,0.54,193.0,35.0
55,0.55,205.0,40.0
56,0.56,224.0,42.0
57,0.57,242.0,47.0
58,0.58,272.0,54.0
59,0.59,301.0,67.0
60,0.6,333.0,83.0
61,0.61,372.0,94.0
62,0.62,408.0,112.0
63,0.63,455.0,131.0
64,0.64,517.0,150.0
65,0.65,576.0,183.0
66,0.66,635.0,213.0
67,0.67,692.0,251.0
68,0.68,764.0,291.0
69,0.69,839.0,333.0
70,0.7,924.0,378.0
71,0.71,1021.0,420.0
72,0.72,1135.0,498.0
73,0.73,1238.0,583.0
74,0.74,1376.0,658.0
75,0.75,1510.0,769.0
76,0.76,1660.0,886.0
77,0.77,1837.0,1050.0
78,0.78,2051.0,1216.0
79,0.79,2263.0,1386.0
80,0.8,2480.0,1591.0
81,0.81,2741.0,1827.0
82,0.82,3036.0,2141.0
83,0.83,3346.0,2518.0
84,0.84,3702.0,2937.0
85,0.85,4115.0,3432.0
86,0.86,4535.0,4041.0
87,0.87,4975.0,4725.0
88,0.88,5468.0,5523.0
89,0.89,5998.0,6447.0
90,0.9,6623.0,7503.0
91,0.91,7348.0,8690.0
92,0.92,8118.0,10117.0
93,0.93,8923.0,11727.0
94,0.94,9875.0,13674.0
95,0.95,10935.0,15938.0
96,0.96,12151.0,18496.0
97,0.97,13394.0,21416.0
98,0.98,14905.0,24721.0
99,0.99,16430.0,28674.0
100,1.0,18190.0,33260.0
101,1.01,20090.0,38612.0
102,1.02,22237.0,44799.0
103,1.03,24641.0,52086.0
104,1.04,27263.0,60512.0
105,1.05,30028.0,70350.0
106,1.06,33214.0,81674.0
107,1.07,36702.0,94898.0
108,1.08,40406.0,110114.0
109,1.09,44693.0,127864.0
110,1.1,49437.0,148534.0
111,1.11,54561.0,172570.0
112,1.12,60263.0,200600.0
113,1.13,66572.0,232963.0
114,1.14,73694.0,270660.0
115,1.15,81368.0,314661.0
116,1.16,89920.0,365404.0
117,1.17,99537.0,425212.0
118,1.18,109882.0,493821.0
119,1.19,121486.0,573979.0
120,1.2,134345.0,667245.0
