,time,z_minus,z_plus
0,0.0,1.0,0.0
1,0.01,1.0,0.0
2,0.02,1.0,0.0
3,0.03,1.0,0.0
4,0.04,1.0,0.0
5,0.05,1.0,0.0
6,0.06,1.0,0.0
7,0.07,2.0,0.0
8,0.08,2.0,0.0
9,0.09,2.0,0.0
10,0.1,3.0,0.0
11,0.11,3.0,0.0
12,0.12,3.0,0.0
13,0.13,3.0,0.0
14,0.14,4.0,0.0
15,0.15,4.0,0.0
16,0.16,4.0,0.0
17,0.17,4.0,0.0
18,0.18,5.0,0.0
19,0.19,5.0,0.0
20,0.2,5.0,0.0
21,0.21,8.0,0.0
22,0.22,8.0,0.0
23,0.23,8.0,0.0
24,0.24,10.0,0.0
25,0.25,10.0,0.0
26,0.26,10.0,0.0
27,0.27,10.0,0.0
28,0.28,10.0,0.0
29,0.29,10.0,0.0
30,0.3,12.0,0.0
31,0.31,12.0,0.0
32,0.32,14.0,0.0
33,0.33,14.0,0.0
34,0.34,17.0,0.0
35,0.35,18.0,0.0
36,0.36,19.0,0.0
37,0.37,20.0,0.0
38,0.38,24.0,0.0
39,0.39,29.0,0.0
40,0.4,34.0,0.0
41,0.41,37.0,0.0
42,0.42,41.0,0.0
43,0.43,43.0,0.0
44,0.44,46.0,0.0
45,0.45,50.0,0.0
46,0.46,59.0,0.0
47,0.47,61.0,0.0
48,0.48,66.0,0.0
49,0.49,69.0,0.0
50,0.5,77.0,0.0
51,0.51,88.0,0.0
52,0.52,97.0,0.0
53,0.53,111.0,1.0
54,0.54,128.0,2.0
55,0.55,143.0,2.0
56,0.56,157.0,3.0
57,0.57,167.0,5.0
58,0.58,191.0,5.0
59,0.59,210.0,6.0
60,0.6,240.0,9.0
61,0.61,266.0,13.0
62,0.62,289.0,18.0
63,0.63,334.0,22.0
64,0.64,364.0,26.0
65,0.65,402.0,31.0
66,0.66,448.0,39.0
67,0.67,492.0,42.0
68,0.68,535.0,45.0
69,0.69,582.0,53.0
70,0.7,647.0,62.0
71,0.71,707.0,69.0
72,0.72,774.0,80.0
73,0.73,857.0,99.0
74,0.74,954.0,117.0
75,0.75,1072.0,135.0
76,0.76,1193.0,153.0
77,0.77,1328.0,175.0
78,0.78,1481.0,195.0
79,0.79,1647.0,225.0
80,0.8,1829.0,273.0
81,0.81,2004.0,327.0
82,0.82,2216.0,392.0
83,0.83,2431.0,446.0
84,0.84,2697.0,518.0
85,0.85,2994.0,609.0
86,0.86,3310.0,705.0
87,0.87,3638.0,821.0
88,0.88,4033.0,962.0
89,0.89,4465.0,1105.0
90,0.9,4975.0,1285.0
91,0.91,5494.0,1497.0
92,0.92,6081.0,1781.0
93,0.93,6695.0,2052.0
94,0.94,7428.0,2386.0
95,0.95,8243.0,2771.0
96,0.96,9119.0,3229.0
97,0.97,10098.0,3789.0
98,0.98,11203.0,4409.0
99,0.99,12395.0,5139.0
100,1.0,13687.0,5938.0
101,1.01,15121.0,6941.0
102,1.02,16723.0,8083.0
103,1.03,18480.0,9429.0
104,1.04,20388.0,11005.0
105,1.05,22556.0,12877.0
106,1.06,25012.0,14944.0
107,1.07,27681.0,17389.0
108,1.08,30558.0,20219.0
109,1.09,33846.0,23398.0
110,1.1,37473.0,27206.0
111,1.11,41380.0,31602.0
112,1.12,45713.0,36778.0
113,1.13,50609.0,42717.0
114,1.14,55981.0,49680.0
115,1.15,61939.0,57738.0
116,1.16,68486.0,66984.0
117,1.17,75767.0,78027.0
118,1.18,83923.0,90716.0
119,1.19,92849.0,105482.0
120,1.2,102564.0,122651.0
