,time,z_minus,z_plus
0,0.0,1.0,0.0
1,0.01,1.0,0.0
2,0.02,2.0,0.0
3,0.03,2.0,0.0
4,0.04,2.0,0.0
5,0.05,2.0,0.0
6,0.06,2.0,0.0
7,0.07,2.0,0.0
8,0.08,2.0,0.0
9,0.09,3.0,0.0
10,0.1,3.0,0.0
11,0.11,4.0,0.0
12,0.12,5.0,0.0
13,0.13,5.0,0.0
14,0.14,6.0,0.0
15,0.15,10.0,0.0
16,0.16,12.0,0.0
17,0.17,13.0,0.0
18,0.18,17.0,0.0
19,0.19,19.0,0.0
20,0.2,26.0,0.0
21,0.21,29.0,0.0
22,0.22,31.0,0.0
23,0.23,33.0,0.0
24,0.24,42.0,0.0
25,0.25,45.0,0.0
26,0.26,52.0,0.0
27,0.27,59.0,0.0
28,0.28,69.0,0.0
29,0.29,82.0,0.0
30,0.3,92.0,0.0
31,0.31,104.0,0.0
32,0.32,122.0,0.0
33,0.33,143.0,0.0
34,0.34,170.0,2.0
35,0.35,195.0,3.0
36,0.36,233.0,4.0
37,0.37,270.0,4.0
38,0.38,320.0,6.0
39,0.39,356.0,6.0
40,0.4,402.0,6.0
41,0.41,477.0,7.0
42,0.42,543.0,8.0
43,0.43,636.0,10.0
44,0.44,733.0,13.0
45,0.45,855.0,15.0
46,0.46,991.0,19.0
47,0.47,1152.0,20.0
48,0.48,1349.0,23.0
49,0.49,1548.0,27.0
50,0.5,1788.0,32.0
51,0.51,2074.0,37.0
52,0.52,2415.0,45.0
53,0.53,2770.0,53.0
54,0.54,3193.0,63.0
55,0.55,3703.0,75.0
56,0.56,4309.0,81.0
57,0.57,5029.0,99.0
58,0.58,5840.0,116.0
59,0.59,6804.0,134.0
60,0.6,7891.0,156.0
61,0.61,9210.0,176.0
62,0.62,10728.0,201.0
63,0.63,12429.0,231.0
64,0.64,14344.0,265.0
65,0.65,16728.0,308.0
66,0.66,19439.0,361.0
67,0.67,22595.0,422.0
68,0.68,26232.0,498.0
69,0.69,30517.0,588.0
70,0.7,35375.0,673.0
71,0.71,41163.0,780.0
72,0.72,47735.0,909.0
73,0.73,55445.0,1053.0
74,0.74,64469.0,1235.0
75,0.75,74961.0,1429.0
76,0.76,87022.0,1640.0
77,0.77,101184.0,1927.0
78,0.78,117444.0,2210.0
79,0.79,136476.0,2551.0
80,0.8,158656.0,2986.0
81,0.81,184231.0,3491.0
82,0.82,214044.0,4072.0
83,0.83,248667.0,4726.0
84,0.84,289228.0,5484.0
85,0.85,335721.0,6414.0
86,0.86,390551.0,7425.0
87,0.87,453903.0,8697.0
88,0.88,527226.0,10085.0
89,0.89,612754.0,11798.0
90,0.9,711838.0,13692.0
91,0.91,827122.0,15833.0
92,0.92,960994.0,18434.0
93,0.93,1116753.0,21599.0
94,0.94,1297265.0,25093.0
95,0.95,1507219.0,29195.0
96,0.96,1751142.0,33926.0
97,0.97,2035406.0,39374.0
98,0.98,2365125.0,45827.0
99,0.99,2749702.0,53241.0
100,1.0,3194783.0,61809.0
